experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Senior,Full-time,"Data Engineer",185000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"BI Developer",54532,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Mid-level,Full-time,"BI Developer",43628,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Senior,Full-time,"Data Scientist",136300,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",115900,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Analyst",89000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",76000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Research Engineer",245000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",204300,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",115400,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",176000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Pipeline Engineer",175000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Pipeline Engineer",170000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",386100,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",207900,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Research Scientist",195500,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Scientist",141300,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Analytics Engineer",192500,"United States",Remote,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Analytics Engineer",148000,"United States",Remote,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Scientist",234000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",146000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Analyst",81650,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",51175,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Engineer",250000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",93500,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Scientist",75000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",206000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",106605,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Integration Engineer",135000,"United States",Remote,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Integration Engineer",115000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Scientist",61105,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",53133,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Data Lead",88973,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Lead",76075,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Scientist",156000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",95105,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Specialist",94415,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Specialist",69785,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Engineer",65000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Research Scientist",184800,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Scientist",107100,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",247250,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",100000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Specialist",95000,"United States",Remote,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Specialist",75000,"United States",Remote,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Science",120000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Science",80000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",171240,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",81960,"United States",In-person,"United States",M,"Data Science and Research"
Executive,Full-time,"Data Scientist",160000,"United States",In-person,"United States",M,"Data Science and Research"
Executive,Full-time,"Data Scientist",100000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",150000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",80000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",212800,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",177300,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Architect",246500,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",168500,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Mid-level,Full-time,"Data Scientist",125000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Analyst",65750,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Prompt Engineer",175000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Prompt Engineer",140000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Engineer",169200,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",130100,"United States",In-person,"United States",M,"Data Engineering"
Executive,Full-time,"BI Developer",204500,"United States",In-person,"United States",M,"BI and Visualization"
Executive,Full-time,"BI Developer",130000,"United States",In-person,"United States",M,"BI and Visualization"
Senior,Full-time,"Data Engineer",140000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",95000,"United States",In-person,"United States",M,"Data Engineering"
Executive,Full-time,"Data Engineer",219650,"United States",Remote,"United States",M,"Data Engineering"
Executive,Full-time,"Data Engineer",136000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",90000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Science",324000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",220000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",107440,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",143800,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",232000,"United States",Remote,"United States",M,"Machine Learning and AI"
Entry-level,Full-time,"Admin & Data Analyst",50000,Germany,In-person,Germany,M,"Data Analysis"
Senior,Full-time,"Data Management Specialist",200400,"United States",In-person,"United States",M,"Data Management and Strategy"
Senior,Full-time,"Data Management Specialist",116500,"United States",In-person,"United States",M,"Data Management and Strategy"
Senior,Full-time,"Data Scientist",188500,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",165100,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Product Manager",166363,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Product Manager",103977,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Engineer",128600,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Analyst",133650,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",68150,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Engineer",210000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",181000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Architect",257600,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",224100,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Mid-level,Full-time,"Data Scientist",144200,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",72100,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",229900,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",201400,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Analyst",90000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",107000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",68400,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Machine Learning Engineer",280000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Machine Learning Engineer",230000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",68750,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",267900,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",234700,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"ML Engineer",220000,"United States",In-person,"United States",M,"Machine Learning and AI"
