experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Senior,Full-time,"Data Engineer",161500,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",240000,"United States",Remote,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Scientist",100000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Business Intelligence Analyst",226844,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Analyst",120672,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Operations Analyst",80000,"United States",In-person,"United States",M,"Data Quality and Operations"
Mid-level,Full-time,"Data Analyst",82000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Management Analyst",124935,"United States",Remote,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Management Analyst",76050,"United States",Remote,"United States",M,"Data Management and Strategy"
Senior,Full-time,"Data Scientist",296980,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",123740,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Manager",130000,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Manager",122500,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Scientist",66666,Spain,In-person,Spain,M,"Data Science and Research"
Senior,Full-time,"Data Scientist",42222,Spain,In-person,Spain,M,"Data Science and Research"
Senior,Full-time,"Data Analyst",133504,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",83576,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"ML Engineer",106050,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"ML Engineer",80420,"United States",In-person,"United States",M,"Machine Learning and AI"
